ET_FID,X,Y,Id,HAZSITE_ID,CONTRACTOR,DOE_DIV,DSTRICT_ID,ERS_CLASS,ERS_OPRUNT,ERS_RECLAS,ERS_STAT_D,ERS_TYPE_D,SITE_NAME,SITE_NUM,SWMUFLAG,UNIT_CTGY,PHOTOS,DOE_DIV_S,RES_CONT_S,RES_PROJ,RES_PROJ_S,ERS_CL_RCL,ERS_OP_DES,MAP_AUTH,Shape_len,Lat,Long,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_STATION
0,575322.374999999,136031.859400003,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575322.375,136031.8594,275.4589,0
1,575319.419848528,136032.306673691,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575319.41985,136032.30667,286.3901,3
2,575316.663324596,136033.453694827,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575316.66332,136033.45369,297.6634,6
3,575314.273773345,136035.250987362,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575314.27377,136035.25099,321.1121,9
4,575312.504050448,136037.660190161,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575312.50405,136037.66019,332.7007,12
5,575311.388575916,136040.430760741,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575311.38858,136040.43076,343.495,15
6,575311.008411955,136043.393228222,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575311.00841,136043.39323,4.9361,18
7,575311.447953884,136046.34774228,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575311.44795,136046.34774,16.5057,21
8,575312.599853251,136049.103675663,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575312.59985,136049.10368,27.2993,24
9,575314.427555904,136051.467119811,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575314.42756,136051.46712,51.3362,27
10,575316.848430622,136053.221429156,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575316.84843,136053.22143,62.3409,30
11,575319.620348039,136054.330399529,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575319.62035,136054.3304,73.6099,33
12,575322.583087288,136054.699471358,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575322.58309,136054.69947,95.3075,36
13,575325.533441615,136054.23004491,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575325.53344,136054.23004,106.3901,39
14,575328.279146258,136053.056289835,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575328.27915,136053.05629,117.6655,42
15,575330.630816081,136051.212849101,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575330.63082,136051.21285,141.1092,45
16,575332.375830227,136048.787564172,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575332.37583,136048.78756,152.7007,48
17,575333.465626831,136046.006676904,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575333.46563,136046.00668,163.5032,51
18,575333.79037821,136043.038812419,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575333.79038,136043.03881,184.8988,54
19,575333.322916126,136040.089691683,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575333.32292,136040.08969,196.4968,57
20,575332.145317801,136037.344110554,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575332.14532,136037.34411,207.3004,60
21,575330.270340876,136035.0193727,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575330.27034,136035.01937,231.3402,63
