ET_FID,X,Y,Id,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,WIDS_,WIDS_ID,DXF_LAYER,CLASS,TEXT,ET_X,ET_Y,ET_ANGLE,ET_STATION,ET_ID
0,572483.518667632,137089.001117055,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572483.51867,137089.00112,353.9194,0,0
1,572483.200890318,137091.984239175,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572483.20089,137091.98424,353.9193,3,0
2,572482.883113004,137094.967361294,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.88311,137094.96736,353.9194,6,0
3,572482.56533569,137097.950483413,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.56534,137097.95048,353.9193,9,0
4,572482.247558377,137100.933605533,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.24756,137100.93361,353.9194,12,0
5,572481.929781063,137103.916727652,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572481.92978,137103.91673,353.9194,15,0
6,572481.612003749,137106.899849771,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572481.612,137106.89985,353.9193,18,0
7,572481.168512868,137109.858768446,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572481.16851,137109.85877,344.2847,21,0
8,572480.355958156,137112.746631816,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572480.35596,137112.74663,344.2868,24,0
9,572479.543403444,137115.634495185,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572479.5434,137115.6345,344.2847,27,0
10,572478.730848731,137118.522358554,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572478.73085,137118.52236,344.2847,30,0
11,572477.918294019,137121.410221923,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572477.91829,137121.41022,344.2849,33,0
12,572477.105739307,137124.298085293,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572477.10574,137124.29809,344.2847,36,0
13,572476.615860238,137127.243646477,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572476.61586,137127.24365,355.4372,39,0
14,572476.377301478,137130.234146388,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572476.3773,137130.23415,355.4393,42,0
15,572476.138742718,137133.224646299,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572476.13874,137133.22465,355.4392,45,0
16,572475.900183958,137136.21514621,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572475.90018,137136.21515,355.4393,48,0
17,572475.661625198,137139.205646121,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572475.66163,137139.20565,355.4392,51,0
18,572475.428907692,137142.19651712,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572475.42891,137142.19652,357.2902,54,0
19,572475.287110513,137145.193164172,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572475.28711,137145.19316,357.2922,57,0
20,572475.145313334,137148.189811225,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572475.14531,137148.18981,357.2902,60,0
21,572475.003516155,137151.186458278,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572475.00352,137151.18646,357.2902,63,0
22,572474.861718975,137154.183105331,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572474.86172,137154.18311,357.2922,66,0
23,572474.719921796,137157.179752384,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572474.71992,137157.17975,357.2902,69,0
24,572474.578124617,137160.176399437,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572474.57812,137160.1764,357.2902,72,0
25,572474.23574961,137163.14837237,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572474.23575,137163.14837,348.6837,75,0
26,572473.647043514,137166.090042836,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572473.64704,137166.09004,348.6837,78,0
27,572473.058337418,137169.031713303,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572473.05834,137169.03171,348.6817,81,0
28,572472.469631322,137171.973383769,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572472.46963,137171.97338,348.6837,84,0
29,572471.880925226,137174.915054235,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572471.88093,137174.91505,348.6837,87,0
30,572471.292219131,137177.856724702,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572471.29222,137177.85672,348.6836,90,0
31,572470.703513035,137180.798395168,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572470.70351,137180.7984,348.6816,93,0
32,572470.114806939,137183.740065635,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572470.11481,137183.74007,348.6836,96,0
33,572469.561873653,137186.685338403,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572469.56187,137186.68534,359.8161,99,0
